@relation dataset

@attribute Localisation {'Mozart à              Tanger','Moujahidine à              Tanger','Malabata à              Tanger',Tanger,'Centre à              Tanger','Administratif à              Tanger','Iberie à              Tanger','Boukhalef à              Tanger','Marjane à              Tanger','Msala à              Tanger','Zouitina à              Tanger','Route Nationale Assilah (N1) à              Tanger','Castilla à              Tanger','Tanger City Center à              Tanger','De La Plage à              Tanger','Jbel Kbir à              Tanger','Bella Vista à              Tanger','Ennasr à              Tanger','El Majd à              Tanger','Rmilat à              Tanger','Aouama Gharbia à              Tanger','Mesnana à              Tanger','Médina à              Tanger','Casabarata à              Tanger','Achakar à              Tanger','Californie à              Tanger','Marchan à              Tanger','Bel Air - Val fleuri à              Tanger','Beni Said à              Tanger','Jirrari à              Tanger','Aharrarine à              Tanger','Tanja Balia à              Tanger','Mghogha à              Tanger','Laaouina à              Tanger','Branes 2 à              Tanger','Charf à              Tanger','manar à              Tanger','Tanger Medina à              Tanger','Charf Mghougha à              Tanger','Du Golf à              Tanger','Hay Hassani à              Tanger','Nzaha à              Tanger','Ahlane à              Tanger','Lalla Chafia à              Tanger','Ain El Hayani à              Tanger','Zone Industrielle Mghogha à              Tanger','Cap Spartel à              Tanger','Hay Zaoudia à              Tanger','Drissia à              Tanger','Branes 1 à              Tanger','Al Warda à              Tanger','Hanaa 3 - Soussi à              Tanger','Beni Touzine à              Tanger','Zemmouri à              Tanger','Achennad à              Tanger','Port Tanger ville à              Tanger','Dher Lahmam à              Tanger','El Mers 1 à              Tanger','Al Anbar à              Tanger','Azib Haj Kaddour à              Tanger','Gourziana à              Tanger','Draoua à              Tanger','El Baraka à              Tanger','Sania à              Tanger','Star Hill à              Tanger','Charf Souani à              Tanger'}
@attribute Price numeric
@attribute Size numeric

@data
'Mozart à              Tanger',10000,125
'Moujahidine à              Tanger',4500,65
'Mozart à              Tanger',5000,80
'Malabata à              Tanger',11500,120
Tanger,13500,130
'Centre à              Tanger',2300000,206
'Centre à              Tanger',6200,125
'Administratif à              Tanger',8500,90
'Centre à              Tanger',4000,95
'Iberie à              Tanger',7800,128
'Boukhalef à              Tanger',1700,17
'Malabata à              Tanger',6500,85
'Mozart à              Tanger',6700,100
'Marjane à              Tanger',2700,100
'Boukhalef à              Tanger',1200,24
'Msala à              Tanger',3000,70
'Zouitina à              Tanger',2500,90
'Iberie à              Tanger',9800,205
'Iberie à              Tanger',9000,180
'Administratif à              Tanger',4000,85
'Marjane à              Tanger',5500,105
'Route Nationale Assilah (N1) à              Tanger',2200,60
'Centre à              Tanger',5500,110
'Iberie à              Tanger',10000,115
'Castilla à              Tanger',7500,123
'Malabata à              Tanger',7000,124
'Tanger City Center à              Tanger',10500,93
'Iberie à              Tanger',11000,200
'Tanger City Center à              Tanger',7500,110
'Malabata à              Tanger',5000,60
'Tanger City Center à              Tanger',9500,100
'De La Plage à              Tanger',6500,85
'Boukhalef à              Tanger',3500,85
'Administratif à              Tanger',7000,90
'Centre à              Tanger',6000,115
'Malabata à              Tanger',10000,150
'Iberie à              Tanger',7000,150
'Administratif à              Tanger',6500,78
'Mozart à              Tanger',5500,90
Tanger,13000,122
Tanger,5000,50
'De La Plage à              Tanger',7500,80
'Malabata à              Tanger',9300,120
'Iberie à              Tanger',12500,134
'Administratif à              Tanger',4500,91
'Mozart à              Tanger',7500,100
'De La Plage à              Tanger',4000,60
'De La Plage à              Tanger',7000,70
'Jbel Kbir à              Tanger',25000,600
'Centre à              Tanger',10000,120
'Centre à              Tanger',8500,100
'Bella Vista à              Tanger',7000,90
'Bella Vista à              Tanger',12000,90
'Malabata à              Tanger',6000,90
'Centre à              Tanger',5500,147
'De La Plage à              Tanger',7000,115
'Mozart à              Tanger',4000,65
'Ennasr à              Tanger',2800,120
'Centre à              Tanger',4500,100
'Centre à              Tanger',13000,138
'De La Plage à              Tanger',7600,96
'Tanger City Center à              Tanger',6300,97
'Moujahidine à              Tanger',3700,100
'El Majd à              Tanger',2800,80
'Rmilat à              Tanger',7000,160
'Tanger City Center à              Tanger',7000,90
'Centre à              Tanger',5200,120
'Mozart à              Tanger',6200,92
'Administratif à              Tanger',9000,140
'Malabata à              Tanger',4500,47
'Aouama Gharbia à              Tanger',1600,61
'Mesnana à              Tanger',4600,90
'Iberie à              Tanger',12500,125
'Administratif à              Tanger',10500,160
'Iberie à              Tanger',8800,160
'Iberie à              Tanger',13000,122
'Centre à              Tanger',4500,75
'Centre à              Tanger',4000,80
'Centre à              Tanger',5200,130
'Iberie à              Tanger',7100,120
'Médina à              Tanger',2200,50
'De La Plage à              Tanger',5500,130
'Casabarata à              Tanger',5000,100
'Rmilat à              Tanger',9000,144
'Centre à              Tanger',5500,130
'Centre à              Tanger',5200,52
'Marjane à              Tanger',5500,120
Tanger,10000,220
Tanger,8500,100
'Centre à              Tanger',6500,127
Tanger,13000,130
'Iberie à              Tanger',9000,200
'Centre à              Tanger',6500,60
'Centre à              Tanger',7000,118
'Achakar à              Tanger',8000,130
'Malabata à              Tanger',7000,100
'Route Nationale Assilah (N1) à              Tanger',4000,90
'Centre à              Tanger',10000,140
'Centre à              Tanger',5000,106
'Centre à              Tanger',7000,120
'Centre à              Tanger',6500,70
